19.3. act -1, pred 1, sxs 0, qlty 0
19.4. act -1, pred -1, sxs 1, qlty 0
19.5. act -1, pred 1, sxs 0, qlty 0
19.6. act -1, pred -1, sxs 1, qlty 0
19.7. act -1, pred 1, sxs 0, qlty 0
19.8. act -1, pred -1, sxs 1, qlty 2
19.9. act -1, pred 1, sxs 0, qlty 2
19.10. act -1, pred -1, sxs 1, qlty 0
19.11. act -1, pred 1, sxs 0, qlty 0
19.12. act -1, pred 1, sxs 0, qlty 0
19.13. act -1, pred -1, sxs 1, qlty 2
19.14. act -1, pred 1, sxs 0, qlty 2
19.15. act -1, pred 1, sxs 0, qlty 2
19.16. act -1, pred -1, sxs 1, qlty 0
19.17. act -1, pred -1, sxs 1, qlty 0
19.18. act -1, pred 1, sxs 0, qlty 2
19.19. act -1, pred -1, sxs 1, qlty 0
19.20. act -1, pred 1, sxs 0, qlty 2
19.21. act -1, pred -1, sxs 1, qlty 2
19.22. act -1, pred 1, sxs 0, qlty 0
19.23. act -1, pred 1, sxs 0, qlty 2
19.24. act -1, pred 1, sxs 0, qlty 2
19.25. act -1, pred 1, sxs 0, qlty 0
19.26. act -1, pred 1, sxs 0, qlty 2
19.27. act -1, pred -1, sxs 1, qlty 0
19.28. act -1, pred 1, sxs 0, qlty 2
19.29. act -1, pred 1, sxs 0, qlty 2
19.30. act -1, pred -1, sxs 1, qlty 0
19.31. act -1, pred 1, sxs 0, qlty 4
20.1. act 1, pred 1, sxs 1, qlty 2
20.2. act 1, pred 1, sxs 1, qlty 2
20.3. act 1, pred 1, sxs 1, qlty 2
20.4. act 1, pred 1, sxs 1, qlty 2
20.5. act 1, pred 1, sxs 1, qlty 2
20.6. act 1, pred 1, sxs 1, qlty 2
20.7. act 1, pred 1, sxs 1, qlty 2
20.8. act 1, pred 1, sxs 1, qlty 2
20.9. act 1, pred 1, sxs 1, qlty 0
20.10. act 1, pred 1, sxs 1, qlty 0
20.11. act 1, pred 1, sxs 1, qlty 2
20.12. act 1, pred 1, sxs 1, qlty 2
20.13. act 1, pred 1, sxs 1, qlty 2
20.14. act 1, pred 1, sxs 1, qlty 2
20.15. act 1, pred 1, sxs 1, qlty 2
20.16. act 1, pred 1, sxs 1, qlty 0
20.17. act 1, pred 1, sxs 1, qlty 2
20.18. act 1, pred 1, sxs 1, qlty 0
20.19. act 1, pred 1, sxs 1, qlty 2
20.20. act 1, pred 1, sxs 1, qlty 0
20.21. act 1, pred 1, sxs 1, qlty 2
20.22. act 1, pred 1, sxs 1, qlty 2
20.23. act 1, pred 1, sxs 1, qlty 0
20.24. act 1, pred 1, sxs 1, qlty 2
20.25. act 1, pred 1, sxs 1, qlty 0
20.26. act 1, pred -1, sxs 0, qlty 2
20.27. act 1, pred -1, sxs 0, qlty 2
20.28. act 1, pred 1, sxs 1, qlty 2
20.29. act 1, pred 1, sxs 1, qlty 2
20.30. act 1, pred 1, sxs 1, qlty 2
20.31. act 1, pred 1, sxs 1, qlty 0
21.1. act -1, pred -1, sxs 1, qlty 2
21.2. act -1, pred 1, sxs 0, qlty 2
21.3. act -1, pred -1, sxs 1, qlty 2
21.4. act -1, pred 1, sxs 0, qlty 4
21.5. act -1, pred 1, sxs 0, qlty 0
21.6. act -1, pred -1, sxs 1, qlty 2
21.7. act -1, pred -1, sxs 1, qlty 0
21.8. act -1, pred 1, sxs 0, qlty 2
21.9. act -1, pred -1, sxs 1, qlty 2
21.10. act -1, pred -1, sxs 1, qlty 2
21.11. act -1, pred -1, sxs 1, qlty 0
21.12. act -1, pred -1, sxs 1, qlty 2
21.13. act -1, pred -1, sxs 1, qlty 2
21.14. act -1, pred -1, sxs 1, qlty 2
21.15. act -1, pred 1, sxs 0, qlty 2
21.16. act -1, pred 1, sxs 0, qlty 2
21.17. act -1, pred -1, sxs 1, qlty 2
21.18. act -1, pred -1, sxs 1, qlty 2
21.19. act -1, pred 1, sxs 0, qlty 4
21.20. act -1, pred 1, sxs 0, qlty 2
21.21. act -1, pred 1, sxs 0, qlty 2
21.22. act -1, pred 1, sxs 0, qlty 0
21.23. act -1, pred 1, sxs 0, qlty 2
21.24. act -1, pred 1, sxs 0, qlty 2
21.25. act -1, pred 1, sxs 0, qlty 2
21.26. act -1, pred -1, sxs 1, qlty 2
21.27. act -1, pred 1, sxs 0, qlty 2
21.28. act -1, pred -1, sxs 1, qlty 2
21.29. act -1, pred 1, sxs 0, qlty 2
21.30. act -1, pred -1, sxs 1, qlty 2
21.31. act -1, pred -1, sxs 1, qlty 2
22.1. act 1, pred 1, sxs 1, qlty 2
22.2. act 1, pred -1, sxs 0, qlty 0
22.3. act 1, pred 1, sxs 1, qlty 2
22.4. act 1, pred -1, sxs 0, qlty 2
22.5. act 1, pred 1, sxs 1, qlty 0
22.6. act 1, pred 1, sxs 1, qlty 2
22.7. act 1, pred 1, sxs 1, qlty 2
22.8. act 1, pred -1, sxs 0, qlty 2
22.9. act 1, pred -1, sxs 0, qlty 2
22.10. act 1, pred 1, sxs 1, qlty 2
22.11. act 1, pred 1, sxs 1, qlty 2
22.12. act 1, pred 1, sxs 1, qlty 2
22.13. act 1, pred 1, sxs 1, qlty 2
22.14. act 1, pred 1, sxs 1, qlty 2
22.15. act 1, pred -1, sxs 0, qlty 2
22.16. act 1, pred 1, sxs 1, qlty 2
22.17. act 1, pred 1, sxs 1, qlty 2
22.18. act 1, pred -1, sxs 0, qlty 0
22.19. act 1, pred 1, sxs 1, qlty 2
22.20. act 1, pred -1, sxs 0, qlty 2
22.21. act 1, pred -1, sxs 0, qlty 2
22.22. act 1, pred 1, sxs 1, qlty 2
22.23. act 1, pred 1, sxs 1, qlty 0
22.24. act 1, pred -1, sxs 0, qlty 0
22.25. act 1, pred 1, sxs 1, qlty 2
22.26. act 1, pred -1, sxs 0, qlty 2
22.27. act 1, pred 1, sxs 1, qlty 2
22.28. act 1, pred 1, sxs 1, qlty 2
22.29. act 1, pred -1, sxs 0, qlty 2
22.30. act 1, pred 1, sxs 1, qlty 2
22.31. act 1, pred 1, sxs 1, qlty 2
23.1. act -1, pred 1, sxs 0, qlty 2
23.2. act -1, pred 1, sxs 0, qlty 0
23.3. act -1, pred 1, sxs 0, qlty 0
23.4. act -1, pred 1, sxs 0, qlty 2
23.5. act -1, pred 1, sxs 0, qlty 2
23.6. act -1, pred 1, sxs 0, qlty 2
23.7. act -1, pred 1, sxs 0, qlty 2
23.8. act -1, pred 1, sxs 0, qlty 0
23.9. act -1, pred 1, sxs 0, qlty 2
23.10. act -1, pred 1, sxs 0, qlty 0
23.11. act -1, pred -1, sxs 1, qlty 2
23.12. act -1, pred 1, sxs 0, qlty 2
23.13. act -1, pred 1, sxs 0, qlty 2
23.14. act -1, pred 1, sxs 0, qlty 0
23.15. act -1, pred 1, sxs 0, qlty 2
23.16. act -1, pred 1, sxs 0, qlty 0
23.17. act -1, pred 1, sxs 0, qlty 2
23.18. act -1, pred 1, sxs 0, qlty 0
23.19. act -1, pred 1, sxs 0, qlty 2
23.20. act -1, pred 1, sxs 0, qlty 2
23.21. act -1, pred 1, sxs 0, qlty 2
23.22. act -1, pred -1, sxs 1, qlty 2
23.23. act -1, pred 1, sxs 0, qlty 2
23.24. act -1, pred 1, sxs 0, qlty 0
23.25. act -1, pred 1, sxs 0, qlty 0
23.26. act -1, pred 1, sxs 0, qlty 2
23.27. act -1, pred 1, sxs 0, qlty 0
23.28. act -1, pred -1, sxs 1, qlty 2
23.29. act -1, pred -1, sxs 1, qlty 0
23.30. act -1, pred 1, sxs 0, qlty 2
23.31. act -1, pred 1, sxs 0, qlty 2
24.1. act 1, pred 1, sxs 1, qlty 2
24.2. act 1, pred 1, sxs 1, qlty 0
24.3. act 1, pred -1, sxs 0, qlty 0
24.4. act 1, pred -1, sxs 0, qlty 2
24.5. act 1, pred -1, sxs 0, qlty 0
24.6. act 1, pred -1, sxs 0, qlty 2
24.7. act 1, pred 1, sxs 1, qlty 0
24.8. act 1, pred 1, sxs 1, qlty 0
24.9. act 1, pred 1, sxs 1, qlty 2
24.10. act 1, pred -1, sxs 0, qlty 0
24.11. act 1, pred -1, sxs 0, qlty 2
24.12. act 1, pred -1, sxs 0, qlty 0
24.13. act 1, pred 1, sxs 1, qlty 2
24.14. act 1, pred -1, sxs 0, qlty 2
24.15. act 1, pred -1, sxs 0, qlty 2
24.16. act 1, pred -1, sxs 0, qlty 0
24.17. act 1, pred 1, sxs 1, qlty 2
24.18. act 1, pred -1, sxs 0, qlty 0
24.19. act 1, pred 1, sxs 1, qlty 2
24.20. act 1, pred -1, sxs 0, qlty 2
24.21. act 1, pred -1, sxs 0, qlty 0
24.22. act 1, pred -1, sxs 0, qlty 2
24.23. act 1, pred -1, sxs 0, qlty 0
24.24. act 1, pred -1, sxs 0, qlty 2
24.25. act 1, pred -1, sxs 0, qlty 0
24.26. act 1, pred 1, sxs 1, qlty 0
24.27. act 1, pred -1, sxs 0, qlty 2
24.28. act 1, pred 1, sxs 1, qlty 2
24.29. act 1, pred 1, sxs 1, qlty 2
24.30. act 1, pred -1, sxs 0, qlty 0
24.31. act 1, pred -1, sxs 0, qlty 2
25.1. act -1, pred 1, sxs 0, qlty 0
25.2. act -1, pred 1, sxs 0, qlty 0
25.3. act -1, pred 1, sxs 0, qlty 0
25.4. act -1, pred 1, sxs 0, qlty 0
25.5. act -1, pred -1, sxs 1, qlty 0
25.6. act -1, pred 1, sxs 0, qlty 0
25.7. act -1, pred 1, sxs 0, qlty 0
25.8. act -1, pred 1, sxs 0, qlty 0
25.9. act -1, pred 1, sxs 0, qlty 0
25.10. act -1, pred 1, sxs 0, qlty 0
25.11. act -1, pred -1, sxs 1, qlty 0
25.12. act -1, pred 1, sxs 0, qlty 0
25.13. act -1, pred 1, sxs 0, qlty 0
25.14. act -1, pred -1, sxs 1, qlty 0
25.15. act -1, pred -1, sxs 1, qlty 0
25.16. act -1, pred 1, sxs 0, qlty 0
25.17. act -1, pred 1, sxs 0, qlty 0
25.18. act -1, pred -1, sxs 1, qlty 0
25.19. act -1, pred 1, sxs 0, qlty 0
25.20. act -1, pred 1, sxs 0, qlty 0
25.21. act -1, pred 1, sxs 0, qlty 0
25.22. act -1, pred 1, sxs 0, qlty 0
25.23. act -1, pred 1, sxs 0, qlty 0
25.24. act -1, pred 1, sxs 0, qlty 0
25.25. act -1, pred 1, sxs 0, qlty 0
25.26. act -1, pred 1, sxs 0, qlty 2
25.27. act -1, pred 1, sxs 0, qlty 0
25.28. act -1, pred 1, sxs 0, qlty 0
25.29. act -1, pred 1, sxs 0, qlty 0
25.30. act -1, pred 1, sxs 0, qlty 0
25.31. act -1, pred 1, sxs 0, qlty 0
26.1. act 1, pred 1, sxs 1, qlty 2
26.2. act 1, pred 1, sxs 1, qlty 0
26.3. act 1, pred 1, sxs 1, qlty 0
26.4. act 1, pred 1, sxs 1, qlty 0
26.5. act 1, pred 1, sxs 1, qlty 0
26.6. act 1, pred 1, sxs 1, qlty 0
26.7. act 1, pred 1, sxs 1, qlty 0
26.8. act 1, pred 1, sxs 1, qlty 0
26.9. act 1, pred 1, sxs 1, qlty 0
26.10. act 1, pred 1, sxs 1, qlty 0
26.11. act 1, pred 1, sxs 1, qlty 0
26.12. act 1, pred 1, sxs 1, qlty 2
26.13. act 1, pred 1, sxs 1, qlty 0
26.14. act 1, pred 1, sxs 1, qlty 0
26.15. act 1, pred 1, sxs 1, qlty 0
26.16. act 1, pred 1, sxs 1, qlty 0
26.17. act 1, pred 1, sxs 1, qlty 0
26.18. act 1, pred -1, sxs 0, qlty 0
26.19. act 1, pred 1, sxs 1, qlty 2
26.20. act 1, pred 1, sxs 1, qlty 0
26.21. act 1, pred 1, sxs 1, qlty 0
26.22. act 1, pred -1, sxs 0, qlty 2
26.23. act 1, pred 1, sxs 1, qlty 0
26.24. act 1, pred 1, sxs 1, qlty 0
26.25. act 1, pred 1, sxs 1, qlty 0
26.26. act 1, pred 1, sxs 1, qlty 0
26.27. act 1, pred 1, sxs 1, qlty 0
26.28. act 1, pred 1, sxs 1, qlty 0
26.29. act 1, pred 1, sxs 1, qlty 0
26.30. act 1, pred 1, sxs 1, qlty 0
26.31. act 1, pred 1, sxs 1, qlty 0
27.1. act 1, pred 1, sxs 1, qlty 2
27.2. act 1, pred 1, sxs 1, qlty 0
27.3. act 1, pred 1, sxs 1, qlty 0
27.4. act 1, pred 1, sxs 1, qlty 0
27.5. act 1, pred 1, sxs 1, qlty 0
27.6. act 1, pred -1, sxs 0, qlty 0
27.7. act 1, pred 1, sxs 1, qlty 0
27.8. act 1, pred -1, sxs 0, qlty 0
27.9. act 1, pred 1, sxs 1, qlty 0
27.10. act 1, pred 1, sxs 1, qlty 0
27.11. act 1, pred 1, sxs 1, qlty 0
27.12. act 1, pred 1, sxs 1, qlty 0
27.13. act 1, pred 1, sxs 1, qlty 0
27.14. act 1, pred 1, sxs 1, qlty 0
27.15. act 1, pred 1, sxs 1, qlty 0
27.16. act 1, pred 1, sxs 1, qlty 0
27.17. act 1, pred 1, sxs 1, qlty 0
27.18. act 1, pred 1, sxs 1, qlty 0
27.19. act 1, pred 1, sxs 1, qlty 0
27.20. act 1, pred 1, sxs 1, qlty 0
27.21. act 1, pred 1, sxs 1, qlty 0
27.22. act 1, pred 1, sxs 1, qlty 0
27.23. act 1, pred 1, sxs 1, qlty 0
27.24. act 1, pred 1, sxs 1, qlty 0
27.25. act 1, pred 1, sxs 1, qlty 0
27.26. act 1, pred 1, sxs 1, qlty 0
27.27. act 1, pred 1, sxs 1, qlty 0
27.28. act 1, pred 1, sxs 1, qlty 2
27.29. act 1, pred -1, sxs 0, qlty 0
27.30. act 1, pred 1, sxs 1, qlty 0
27.31. act 1, pred 1, sxs 1, qlty 0
28.1. act -1, pred 1, sxs 0, qlty 2
28.2. act -1, pred 1, sxs 0, qlty 2
28.3. act -1, pred 1, sxs 0, qlty 0
28.4. act -1, pred -1, sxs 1, qlty 2
28.5. act -1, pred 1, sxs 0, qlty 2
28.6. act -1, pred -1, sxs 1, qlty 2
28.7. act -1, pred 1, sxs 0, qlty 2
28.8. act -1, pred -1, sxs 1, qlty 2
28.9. act -1, pred 1, sxs 0, qlty 2
28.10. act -1, pred 1, sxs 0, qlty 0
28.11. act -1, pred 1, sxs 0, qlty 0
28.12. act -1, pred 1, sxs 0, qlty 0
28.13. act -1, pred 1, sxs 0, qlty 0
28.14. act -1, pred -1, sxs 1, qlty 2
28.15. act -1, pred 1, sxs 0, qlty 0
28.16. act -1, pred 1, sxs 0, qlty 0
28.17. act -1, pred 1, sxs 0, qlty 2
28.18. act -1, pred 1, sxs 0, qlty 0
28.19. act -1, pred -1, sxs 1, qlty 2
28.20. act -1, pred 1, sxs 0, qlty 2
28.21. act -1, pred 1, sxs 0, qlty 2
28.22. act -1, pred 1, sxs 0, qlty 2
28.23. act -1, pred 1, sxs 0, qlty 0
28.24. act -1, pred -1, sxs 1, qlty 2
28.25. act -1, pred 1, sxs 0, qlty 2
28.26. act -1, pred -1, sxs 1, qlty 2
28.27. act -1, pred -1, sxs 1, qlty 0
28.28. act -1, pred -1, sxs 1, qlty 0
28.29. act -1, pred 1, sxs 0, qlty 2
28.30. act -1, pred -1, sxs 1, qlty 0
28.31. act -1, pred 1, sxs 0, qlty 0
29.1. act -1, pred 1, sxs 0, qlty 2
29.2. act -1, pred 1, sxs 0, qlty 2
29.3. act -1, pred 1, sxs 0, qlty 2
29.4. act -1, pred 1, sxs 0, qlty 2
29.5. act -1, pred 1, sxs 0, qlty 2
29.6. act -1, pred 1, sxs 0, qlty 0
29.7. act -1, pred 1, sxs 0, qlty 2
29.8. act -1, pred 1, sxs 0, qlty 0
29.9. act -1, pred 1, sxs 0, qlty 2
29.10. act -1, pred 1, sxs 0, qlty 0
29.11. act -1, pred 1, sxs 0, qlty 0
29.12. act -1, pred 1, sxs 0, qlty 2
29.13. act -1, pred 1, sxs 0, qlty 2
29.14. act -1, pred 1, sxs 0, qlty 0
29.15. act -1, pred -1, sxs 1, qlty 0
29.16. act -1, pred 1, sxs 0, qlty 2
29.17. act -1, pred 1, sxs 0, qlty 0
29.18. act -1, pred -1, sxs 1, qlty 0
29.19. act -1, pred 1, sxs 0, qlty 2
29.20. act -1, pred 1, sxs 0, qlty 0
29.21. act -1, pred 1, sxs 0, qlty 2
29.22. act -1, pred 1, sxs 0, qlty 2
29.23. act -1, pred 1, sxs 0, qlty 2
29.24. act -1, pred 1, sxs 0, qlty 2
29.25. act -1, pred 1, sxs 0, qlty 2
29.26. act -1, pred 1, sxs 0, qlty 2
29.27. act -1, pred 1, sxs 0, qlty 0
29.28. act -1, pred -1, sxs 1, qlty 0
29.29. act -1, pred 1, sxs 0, qlty 0
29.30. act -1, pred 1, sxs 0, qlty 2
29.31. act -1, pred 1, sxs 0, qlty 2
30.1. act -1, pred -1, sxs 1, qlty 2
30.2. act -1, pred 1, sxs 0, qlty 2
30.3. act -1, pred -1, sxs 1, qlty 0
30.4. act -1, pred -1, sxs 1, qlty 2
30.5. act -1, pred -1, sxs 1, qlty 2
30.6. act -1, pred -1, sxs 1, qlty 2
30.7. act -1, pred -1, sxs 1, qlty 2
30.8. act -1, pred 1, sxs 0, qlty 2
30.9. act -1, pred 1, sxs 0, qlty 0
30.10. act -1, pred 1, sxs 0, qlty 2
30.11. act -1, pred 1, sxs 0, qlty 2
30.12. act -1, pred -1, sxs 1, qlty 2
30.13. act -1, pred -1, sxs 1, qlty 2
30.14. act -1, pred 1, sxs 0, qlty 2
30.15. act -1, pred -1, sxs 1, qlty 2
30.16. act -1, pred 1, sxs 0, qlty 0
30.17. act -1, pred -1, sxs 1, qlty 0
30.18. act -1, pred -1, sxs 1, qlty 2
30.19. act -1, pred -1, sxs 1, qlty 0
30.20. act -1, pred -1, sxs 1, qlty 2
30.21. act -1, pred 1, sxs 0, qlty 2
30.22. act -1, pred 1, sxs 0, qlty 2
30.23. act -1, pred -1, sxs 1, qlty 0
30.24. act -1, pred -1, sxs 1, qlty 2
30.25. act -1, pred 1, sxs 0, qlty 2
30.26. act -1, pred 1, sxs 0, qlty 2
30.27. act -1, pred -1, sxs 1, qlty 2
30.28. act -1, pred -1, sxs 1, qlty 0
30.29. act -1, pred -1, sxs 1, qlty 0
30.30. act -1, pred 1, sxs 0, qlty 0
30.31. act -1, pred -1, sxs 1, qlty 2
31.1. act -1, pred -1, sxs 1, qlty 2
31.2. act -1, pred 1, sxs 0, qlty 0
31.3. act -1, pred -1, sxs 1, qlty 2
31.4. act -1, pred -1, sxs 1, qlty 2
31.5. act -1, pred -1, sxs 1, qlty 2
31.6. act -1, pred -1, sxs 1, qlty 2
31.7. act -1, pred 1, sxs 0, qlty 2
31.8. act -1, pred -1, sxs 1, qlty 0
31.9. act -1, pred 1, sxs 0, qlty 0
31.10. act -1, pred -1, sxs 1, qlty 2
31.11. act -1, pred -1, sxs 1, qlty 2
31.12. act -1, pred -1, sxs 1, qlty 2
31.13. act -1, pred 1, sxs 0, qlty 2
31.14. act -1, pred 1, sxs 0, qlty 2
31.15. act -1, pred -1, sxs 1, qlty 2
31.16. act -1, pred 1, sxs 0, qlty 2
31.17. act -1, pred -1, sxs 1, qlty 2
31.18. act -1, pred 1, sxs 0, qlty 0
31.19. act -1, pred -1, sxs 1, qlty 2
31.20. act -1, pred -1, sxs 1, qlty 2
31.21. act -1, pred -1, sxs 1, qlty 2
31.22. act -1, pred -1, sxs 1, qlty 2
31.23. act -1, pred -1, sxs 1, qlty 0
31.24. act -1, pred -1, sxs 1, qlty 2
31.25. act -1, pred -1, sxs 1, qlty 2
31.26. act -1, pred -1, sxs 1, qlty 2
31.27. act -1, pred -1, sxs 1, qlty 2
31.28. act -1, pred -1, sxs 1, qlty 2
31.29. act -1, pred 1, sxs 0, qlty 2
31.30. act -1, pred 1, sxs 0, qlty 0
31.31. act -1, pred -1, sxs 1, qlty 2
32.1. act -1, pred 1, sxs 0, qlty 0
32.2. act -1, pred -1, sxs 1, qlty 2
32.3. act -1, pred -1, sxs 1, qlty 2
32.4. act -1, pred -1, sxs 1, qlty 2
32.5. act -1, pred -1, sxs 1, qlty 2
32.6. act -1, pred -1, sxs 1, qlty 0
32.7. act -1, pred -1, sxs 1, qlty 2
32.8. act -1, pred -1, sxs 1, qlty 2
32.9. act -1, pred 1, sxs 0, qlty 2
32.10. act -1, pred -1, sxs 1, qlty 0
32.11. act -1, pred -1, sxs 1, qlty 2
32.12. act -1, pred -1, sxs 1, qlty 2
32.13. act -1, pred -1, sxs 1, qlty 2
32.14. act -1, pred -1, sxs 1, qlty 2
32.15. act -1, pred -1, sxs 1, qlty 2
32.16. act -1, pred -1, sxs 1, qlty 2
32.17. act -1, pred -1, sxs 1, qlty 0
32.18. act -1, pred 1, sxs 0, qlty 2
32.19. act -1, pred -1, sxs 1, qlty 2
32.20. act -1, pred -1, sxs 1, qlty 2
32.21. act -1, pred -1, sxs 1, qlty 0
32.22. act -1, pred -1, sxs 1, qlty 0
32.23. act -1, pred -1, sxs 1, qlty 2
32.24. act -1, pred 1, sxs 0, qlty 2
32.25. act -1, pred -1, sxs 1, qlty 2
32.26. act -1, pred -1, sxs 1, qlty 2
32.27. act -1, pred 1, sxs 0, qlty 2
32.28. act -1, pred -1, sxs 1, qlty 2
32.29. act -1, pred -1, sxs 1, qlty 2
32.30. act -1, pred -1, sxs 1, qlty 2
32.31. act -1, pred -1, sxs 1, qlty 2
33.1. act -1, pred 1, sxs 0, qlty 0
33.2. act -1, pred 1, sxs 0, qlty 2
33.3. act -1, pred 1, sxs 0, qlty 0
33.4. act -1, pred 1, sxs 0, qlty 0
33.5. act -1, pred 1, sxs 0, qlty 0
33.6. act -1, pred 1, sxs 0, qlty 0
33.7. act -1, pred 1, sxs 0, qlty 2
33.8. act -1, pred 1, sxs 0, qlty 2
33.9. act -1, pred 1, sxs 0, qlty 2
33.10. act -1, pred 1, sxs 0, qlty 2
33.11. act -1, pred 1, sxs 0, qlty 2
33.12. act -1, pred 1, sxs 0, qlty 2
33.13. act -1, pred 1, sxs 0, qlty 0
33.14. act -1, pred 1, sxs 0, qlty 2
33.15. act -1, pred 1, sxs 0, qlty 2
33.16. act -1, pred 1, sxs 0, qlty 0
33.17. act -1, pred 1, sxs 0, qlty 2
33.18. act -1, pred 1, sxs 0, qlty 2
33.19. act -1, pred 1, sxs 0, qlty 2
33.20. act -1, pred 1, sxs 0, qlty 2
33.21. act -1, pred 1, sxs 0, qlty 2
33.22. act -1, pred 1, sxs 0, qlty 2
33.23. act -1, pred 1, sxs 0, qlty 2
33.24. act -1, pred 1, sxs 0, qlty 0
33.25. act -1, pred 1, sxs 0, qlty 0
33.26. act -1, pred 1, sxs 0, qlty 0
33.27. act -1, pred 1, sxs 0, qlty 2
33.28. act -1, pred 1, sxs 0, qlty 2
33.29. act -1, pred 1, sxs 0, qlty 0
33.30. act -1, pred 1, sxs 0, qlty 0
33.31. act -1, pred 1, sxs 0, qlty 0
34.1. act 1, pred 1, sxs 1, qlty 0
34.2. act 1, pred 1, sxs 1, qlty 2
34.3. act 1, pred 1, sxs 1, qlty 0
34.4. act 1, pred 1, sxs 1, qlty 0
34.5. act 1, pred 1, sxs 1, qlty 0
34.6. act 1, pred 1, sxs 1, qlty 0
34.7. act 1, pred 1, sxs 1, qlty 2
34.8. act 1, pred -1, sxs 0, qlty 0
34.9. act 1, pred 1, sxs 1, qlty 0
34.10. act 1, pred 1, sxs 1, qlty 0
34.11. act 1, pred 1, sxs 1, qlty 0
34.12. act 1, pred -1, sxs 0, qlty 2
34.13. act 1, pred -1, sxs 0, qlty 2
34.14. act 1, pred -1, sxs 0, qlty 0
34.15. act 1, pred 1, sxs 1, qlty 0
34.16. act 1, pred 1, sxs 1, qlty 0
34.17. act 1, pred 1, sxs 1, qlty 0
34.18. act 1, pred 1, sxs 1, qlty 0
34.19. act 1, pred 1, sxs 1, qlty 2
34.20. act 1, pred 1, sxs 1, qlty 2
34.21. act 1, pred 1, sxs 1, qlty 0
34.22. act 1, pred 1, sxs 1, qlty 0
34.23. act 1, pred 1, sxs 1, qlty 2
34.24. act 1, pred 1, sxs 1, qlty 2
34.25. act 1, pred 1, sxs 1, qlty 0
34.26. act 1, pred 1, sxs 1, qlty 0
34.27. act 1, pred 1, sxs 1, qlty 0
34.28. act 1, pred 1, sxs 1, qlty 2
34.29. act 1, pred 1, sxs 1, qlty 0
34.30. act 1, pred 1, sxs 1, qlty 2
34.31. act 1, pred 1, sxs 1, qlty 2
35.1. act -1, pred -1, sxs 1, qlty 0
35.2. act -1, pred -1, sxs 1, qlty 0
35.3. act -1, pred -1, sxs 1, qlty 0
35.4. act -1, pred -1, sxs 1, qlty 2
35.5. act -1, pred 1, sxs 0, qlty 0
35.6. act -1, pred -1, sxs 1, qlty 0
35.7. act -1, pred -1, sxs 1, qlty 0
35.8. act -1, pred 1, sxs 0, qlty 2
35.9. act -1, pred -1, sxs 1, qlty 2
35.10. act -1, pred -1, sxs 1, qlty 2
35.11. act -1, pred 1, sxs 0, qlty 0
35.12. act -1, pred 1, sxs 0, qlty 2
35.13. act -1, pred -1, sxs 1, qlty 2
35.14. act -1, pred -1, sxs 1, qlty 0
35.15. act -1, pred -1, sxs 1, qlty 2
35.16. act -1, pred -1, sxs 1, qlty 2
35.17. act -1, pred -1, sxs 1, qlty 0
35.18. act -1, pred 1, sxs 0, qlty 0
35.19. act -1, pred -1, sxs 1, qlty 0
35.20. act -1, pred -1, sxs 1, qlty 2
35.21. act -1, pred 1, sxs 0, qlty 0
35.22. act -1, pred -1, sxs 1, qlty 2
35.23. act -1, pred 1, sxs 0, qlty 0
35.24. act -1, pred -1, sxs 1, qlty 0
35.25. act -1, pred -1, sxs 1, qlty 2
35.26. act -1, pred -1, sxs 1, qlty 0
35.27. act -1, pred 1, sxs 0, qlty 0
35.28. act -1, pred 1, sxs 0, qlty 2
35.29. act -1, pred 1, sxs 0, qlty 0
35.30. act -1, pred 1, sxs 0, qlty 0
35.31. act -1, pred -1, sxs 1, qlty 2
36.1. act -1, pred -1, sxs 1, qlty 0
36.2. act -1, pred -1, sxs 1, qlty 0
36.3. act -1, pred 1, sxs 0, qlty 2
36.4. act -1, pred -1, sxs 1, qlty 0
36.5. act -1, pred 1, sxs 0, qlty 2
36.6. act -1, pred -1, sxs 1, qlty 0
36.7. act -1, pred 1, sxs 0, qlty 2
36.8. act -1, pred -1, sxs 1, qlty 0
36.9. act -1, pred 1, sxs 0, qlty 0
36.10. act -1, pred -1, sxs 1, qlty 0
36.11. act -1, pred -1, sxs 1, qlty 0
36.12. act -1, pred 1, sxs 0, qlty 0
36.13. act -1, pred 1, sxs 0, qlty 2
36.14. act -1, pred 1, sxs 0, qlty 2
36.15. act -1, pred -1, sxs 1, qlty 0
36.16. act -1, pred 1, sxs 0, qlty 2
36.17. act -1, pred 1, sxs 0, qlty 0
36.18. act -1, pred 1, sxs 0, qlty 2
36.19. act -1, pred 1, sxs 0, qlty 2
36.20. act -1, pred -1, sxs 1, qlty 0
36.21. act -1, pred -1, sxs 1, qlty 0
36.22. act -1, pred 1, sxs 0, qlty 2
36.23. act -1, pred -1, sxs 1, qlty 0
36.24. act -1, pred 1, sxs 0, qlty 2
36.25. act -1, pred 1, sxs 0, qlty 2
36.26. act -1, pred 1, sxs 0, qlty 2
36.27. act -1, pred -1, sxs 1, qlty 2
36.28. act -1, pred -1, sxs 1, qlty 2
36.29. act -1, pred 1, sxs 0, qlty 2
36.30. act -1, pred 1, sxs 0, qlty 2
36.31. act -1, pred 1, sxs 0, qlty 2
37.1. act 1, pred -1, sxs 0, qlty 0
37.2. act 1, pred -1, sxs 0, qlty 0
37.3. act 1, pred -1, sxs 0, qlty 2
37.4. act 1, pred -1, sxs 0, qlty 0
